,f1_score,expert,method,tile,jaccard_thre,TP,FP,FN
0,0.8104359313077939,expert1,DeepCell 0.12.3 mem,tile1,0.26,2454,171,977
1,0.8096897295503567,expert1,DeepCell 0.12.3 cyto,tile1,0.26,2440,156,991
2,0.820919689119171,expert1,DeepCell 0.9.0 mem,tile1,0.26,2535,210,896
3,0.8193202146690519,expert1,DeepCell 0.9.0 cyto,tile1,0.26,2519,199,912
4,0.7508638562543193,expert1,DeepCell 0.6.0 mem,tile1,0.26,2173,184,1258
5,0.7310586176727909,expert1,DeepCell 0.6.0 cyto,tile1,0.26,2089,195,1342
6,0.8068954610153408,expert1,Cellpose 2.1.0,tile1,0.26,2551,341,880
7,0.7963700047763095,expert1,Cellpose 0.6.1,tile1,0.26,2501,349,930
8,0.796734693877551,expert1,Cellpose 0.0.3.1,tile1,0.26,2440,254,991
9,0.4140098787606646,expert1,CellProfiler,tile1,0.26,922,101,2509
10,0.028862478777589132,expert1,CellX,tile1,0.26,51,52,3380
11,0.2664963814389102,expert1,AICS(classic),tile1,0.26,626,641,2805
12,0.0,expert1,Cellsegm,tile1,0.26,0,23,3431
13,0.09674282936315022,expert1,Voronoi,tile1,0.26,199,484,3232
14,0.7337556561085973,expert1,Expert2,tile1,0.26,2027,67,1404
15,0.8344988344988346,expert2,DeepCell 0.12.3 mem,tile1,0.26,1969,656,125
16,0.828997867803838,expert2,DeepCell 0.12.3 cyto,tile1,0.26,1944,652,150
17,0.8208307501549907,expert2,DeepCell 0.9.0 mem,tile1,0.26,1986,759,108
18,0.8250207813798837,expert2,DeepCell 0.9.0 cyto,tile1,0.26,1985,733,109
19,0.793529543922714,expert2,DeepCell 0.6.0 mem,tile1,0.26,1766,591,328
20,0.7948835084513477,expert2,DeepCell 0.6.0 cyto,tile1,0.26,1740,544,354
21,0.798235058162856,expert2,Cellpose 2.1.0,tile1,0.26,1990,902,104
22,0.7985436893203883,expert2,Cellpose 0.6.1,tile1,0.26,1974,876,120
23,0.8249791144527987,expert2,Cellpose 0.0.3.1,tile1,0.26,1975,719,119
24,0.5113891562399744,expert2,CellProfiler,tile1,0.26,797,226,1297
25,0.03641329085116067,expert2,CellX,tile1,0.26,40,63,2054
26,0.419518000595061,expert2,AICS(classic),tile1,0.26,705,562,1389
27,0.0,expert2,Cellsegm,tile1,0.26,0,23,2094
28,0.06769895570759812,expert2,Voronoi,tile1,0.26,94,589,2000
29,0.7337556561085973,expert2,Expert1,tile1,0.26,2027,1404,67
30,0.7499544709524677,expert1,DeepCell 0.12.3 mem,tile2,0.26,2059,373,1000
31,0.7572254335260116,expert1,DeepCell 0.12.3 cyto,tile2,0.26,2096,381,963
32,0.7610492274523895,expert1,DeepCell 0.9.0 mem,tile2,0.26,2118,389,941
33,0.7832416119297,expert1,DeepCell 0.9.0 cyto,tile2,0.26,2206,368,853
34,0.6732673267326733,expert1,DeepCell 0.6.0 mem,tile2,0.26,1768,425,1291
35,0.6605151864667436,expert1,DeepCell 0.6.0 cyto,tile2,0.26,1718,425,1341
36,0.7688803224110741,expert1,Cellpose 2.1.0,tile2,0.26,2194,454,865
37,0.7527675276752768,expert1,Cellpose 0.6.1,tile2,0.26,2142,490,917
38,0.7564935064935064,expert1,Cellpose 0.0.3.1,tile2,0.26,2097,388,962
39,0.3086785009861933,expert1,CellProfiler,tile2,0.26,626,371,2433
40,0.022335673261008295,expert1,CellX,tile2,0.26,35,40,3024
41,0.3250603997364375,expert1,AICS(classic),tile2,0.26,740,754,2319
42,0.0,expert1,Cellsegm,tile2,0.26,0,17,3059
43,0.056345586262409444,expert1,Voronoi,tile2,0.26,105,563,2954
44,0.711226736041625,expert1,Expert2,tile2,0.26,1777,161,1282
45,0.8260869565217391,expert2,DeepCell 0.12.3 mem,tile2,0.26,1805,627,133
46,0.8253680634201586,expert2,DeepCell 0.12.3 cyto,tile2,0.26,1822,655,116
47,0.8220472440944881,expert2,DeepCell 0.9.0 mem,tile2,0.26,1827,680,111
48,0.8297872340425532,expert2,DeepCell 0.9.0 cyto,tile2,0.26,1872,702,66
49,0.7993221980150085,expert2,DeepCell 0.6.0 mem,tile2,0.26,1651,542,287
50,0.8007841215388385,expert2,DeepCell 0.6.0 cyto,tile2,0.26,1634,509,304
51,0.7845617095508068,expert2,Cellpose 2.1.0,tile2,0.26,1799,849,139
52,0.7798687089715536,expert2,Cellpose 0.6.1,tile2,0.26,1782,850,156
53,0.8057879267465521,expert2,Cellpose 0.0.3.1,tile2,0.26,1782,703,156
54,0.41499148211243614,expert2,CellProfiler,tile2,0.26,609,388,1329
55,0.03676105315449578,expert2,CellX,tile2,0.26,37,38,1901
56,0.398018648018648,expert2,AICS(classic),tile2,0.26,683,811,1255
57,0.0,expert2,Cellsegm,tile2,0.26,0,17,1938
58,0.10053722179585571,expert2,Voronoi,tile2,0.26,131,537,1807
59,0.711226736041625,expert2,Expert1,tile2,0.26,1777,1282,161
