,f1_score,expert,method,tile,jaccard_thre,TP,FP,FN
0,0.017173051519154558,expert1,DeepCell 0.12.3 mem,tile1,0.81,52,2573,3379
1,0.019910403185664508,expert1,DeepCell 0.12.3 cyto,tile1,0.81,60,2536,3371
2,0.03465025906735751,expert1,DeepCell 0.9.0 mem,tile1,0.81,107,2638,3324
3,0.033501382338591644,expert1,DeepCell 0.9.0 cyto,tile1,0.81,103,2615,3328
4,0.002073255010366275,expert1,DeepCell 0.6.0 mem,tile1,0.81,6,2351,3425
5,0.0010498687664041995,expert1,DeepCell 0.6.0 cyto,tile1,0.81,3,2281,3428
6,0.01739680531393326,expert1,Cellpose 2.1.0,tile1,0.81,55,2837,3376
7,0.030249960197420794,expert1,Cellpose 0.6.1,tile1,0.81,95,2755,3336
8,0.018285714285714287,expert1,Cellpose 0.0.3.1,tile1,0.81,56,2638,3375
9,0.001347103726986978,expert1,CellProfiler,tile1,0.81,3,1020,3428
10,0.0,expert1,CellX,tile1,0.81,0,103,3431
11,0.0,expert1,AICS(classic),tile1,0.81,0,1267,3431
12,0.0,expert1,Cellsegm,tile1,0.81,0,23,3431
13,0.0,expert1,Voronoi,tile1,0.81,0,683,3431
14,0.0050678733031674205,expert1,Expert2,tile1,0.81,14,2080,3417
15,0.0021190930281839372,expert2,DeepCell 0.12.3 mem,tile1,0.81,5,2620,2089
16,0.0021321961620469083,expert2,DeepCell 0.12.3 cyto,tile1,0.81,5,2591,2089
17,0.009506096300888613,expert2,DeepCell 0.9.0 mem,tile1,0.81,23,2722,2071
18,0.01662510390689942,expert2,DeepCell 0.9.0 cyto,tile1,0.81,40,2678,2054
19,0.0,expert2,DeepCell 0.6.0 mem,tile1,0.81,0,2357,2094
20,0.0,expert2,DeepCell 0.6.0 cyto,tile1,0.81,0,2284,2094
21,0.009626955475330927,expert2,Cellpose 2.1.0,tile1,0.81,24,2868,2070
22,0.017394822006472493,expert2,Cellpose 0.6.1,tile1,0.81,43,2807,2051
23,0.014202172096908938,expert2,Cellpose 0.0.3.1,tile1,0.81,34,2660,2060
24,0.016041065126724416,expert2,CellProfiler,tile1,0.81,25,998,2069
25,0.0,expert2,CellX,tile1,0.81,0,103,2094
26,0.0017851829812555787,expert2,AICS(classic),tile1,0.81,3,1264,2091
27,0.0,expert2,Cellsegm,tile1,0.81,0,23,2094
28,0.0,expert2,Voronoi,tile1,0.81,0,683,2094
29,0.0050678733031674205,expert2,Expert1,tile1,0.81,14,3417,2080
30,0.00801311236568931,expert1,DeepCell 0.12.3 mem,tile2,0.81,22,2410,3037
31,0.010476878612716763,expert1,DeepCell 0.12.3 cyto,tile2,0.81,29,2448,3030
32,0.016169601149838304,expert1,DeepCell 0.9.0 mem,tile2,0.81,45,2462,3014
33,0.024498491034972484,expert1,DeepCell 0.9.0 cyto,tile2,0.81,69,2505,2990
34,0.0003808073115003808,expert1,DeepCell 0.6.0 mem,tile2,0.81,1,2192,3058
35,0.0,expert1,DeepCell 0.6.0 cyto,tile2,0.81,0,2143,3059
36,0.015419660066584896,expert1,Cellpose 2.1.0,tile2,0.81,44,2604,3015
37,0.02319451765946231,expert1,Cellpose 0.6.1,tile2,0.81,66,2566,2993
38,0.016233766233766232,expert1,Cellpose 0.0.3.1,tile2,0.81,45,2440,3014
39,0.0014792899408284023,expert1,CellProfiler,tile2,0.81,3,994,3056
40,0.0,expert1,CellX,tile2,0.81,0,75,3059
41,0.0,expert1,AICS(classic),tile2,0.81,0,1494,3059
42,0.0,expert1,Cellsegm,tile2,0.81,0,17,3059
43,0.0,expert1,Voronoi,tile2,0.81,0,668,3059
44,0.00640384230538323,expert1,Expert2,tile2,0.81,16,1922,3043
45,0.0,expert2,DeepCell 0.12.3 mem,tile2,0.81,0,2432,1938
46,0.00045300113250283127,expert2,DeepCell 0.12.3 cyto,tile2,0.81,1,2476,1937
47,0.0017997750281214847,expert2,DeepCell 0.9.0 mem,tile2,0.81,4,2503,1934
48,0.004875886524822695,expert2,DeepCell 0.9.0 cyto,tile2,0.81,11,2563,1927
49,0.0004841442749939482,expert2,DeepCell 0.6.0 mem,tile2,0.81,1,2192,1937
50,0.0,expert2,DeepCell 0.6.0 cyto,tile2,0.81,0,2143,1938
51,0.008286088094199739,expert2,Cellpose 2.1.0,tile2,0.81,19,2629,1919
52,0.01487964989059081,expert2,Cellpose 0.6.1,tile2,0.81,34,2598,1904
53,0.011304544426859598,expert2,Cellpose 0.0.3.1,tile2,0.81,25,2460,1913
54,0.0020442930153321977,expert2,CellProfiler,tile2,0.81,3,994,1935
55,0.0,expert2,CellX,tile2,0.81,0,75,1938
56,0.0,expert2,AICS(classic),tile2,0.81,0,1494,1938
57,0.0,expert2,Cellsegm,tile2,0.81,0,17,1938
58,0.0,expert2,Voronoi,tile2,0.81,0,668,1938
59,0.00640384230538323,expert2,Expert1,tile2,0.81,16,3043,1922
