,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.6231836195508587,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.45,1887,738,1544
1,0.6285050605608097,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.45,1894,702,1537
2,0.6602979274611399,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.45,2039,706,1392
3,0.6550658643681899,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.45,2014,704,1417
4,0.44713199723566,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.45,1294,1063,2137
5,0.4304461942257218,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.45,1230,1054,2201
6,0.62533607464811,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.45,1977,915,1454
7,0.6279254895717242,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.45,1972,878,1459
8,0.6200816326530613,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.45,1899,795,1532
9,0.05123674911660778,0.5013646077089747,expert1,CellProfiler,tile1,0.45,116,981,3315
10,0.0540962288686606,0.008498220205465826,expert1,CellX,tile1,0.45,104,310,3327
11,0.04907677356656948,0.24802265842043594,expert1,AICS(classic),tile1,0.45,101,584,3330
12,0.0,0.25322929376201453,expert1,Cellsegm,tile1,0.45,0,26,3431
13,0.01652892561983471,0.6201126319279938,expert1,Voronoi,tile1,0.45,34,649,3397
14,0.4535746606334842,0.8049131060216731,expert1,Expert2,tile1,0.45,1253,841,2178
15,0.49502013138376777,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.45,1168,1457,926
16,0.4929637526652452,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.45,1156,1440,938
17,0.6125232486050837,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.45,1482,1263,612
18,0.6529509559434746,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.45,1571,1147,523
19,0.2709503482363514,1.2262171823123826,expert2,DeepCell 0.6.0 mem,tile1,0.45,603,1754,1491
