,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.8365257595772787,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.13,2533,92,898
1,0.8355732536917206,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.13,2518,78,913
2,0.8419689119170984,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.13,2600,145,831
3,0.8437144251097739,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.13,2594,124,837
4,0.7954388389771941,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.13,2302,55,1129
5,0.7825021872265967,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.13,2236,48,1195
6,0.8318835995571723,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.13,2630,262,801
7,0.8157936634293902,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.13,2562,288,869
8,0.8176326530612245,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.13,2504,190,927
9,0.14443462897526502,0.5013646077089747,expert1,CellProfiler,tile1,0.13,327,770,3104
10,0.16436931079323797,0.008498220205465826,expert1,CellX,tile1,0.13,316,98,3115
11,0.3007774538386783,0.24802265842043594,expert1,AICS(classic),tile1,0.13,619,66,2812
12,0.008678044547295342,0.25322929376201453,expert1,Cellsegm,tile1,0.13,15,11,3416
13,0.2498784637822071,0.6201126319279938,expert1,Voronoi,tile1,0.13,514,169,2917
14,0.7529411764705882,0.8049131060216731,expert1,Expert2,tile1,0.13,2080,14,1351
15,0.8531468531468531,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.13,2013,612,81
16,0.8533049040511727,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.13,2001,595,93
17,0.8324033891299856,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.13,2014,731,80
18,0.8374896093100582,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.13,2015,703,79
