,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.8001981505944518,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.28,2423,202,1008
1,0.8003982080637133,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.28,2412,184,1019
2,0.8154145077720207,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.28,2518,227,913
3,0.813140348024069,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.28,2500,218,931
4,0.728403593642018,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.28,2108,249,1323
5,0.7121609798775154,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.28,2035,249,1396
6,0.7996204333386051,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.28,2528,364,903
7,0.7852252825983124,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.28,2466,384,965
8,0.7872653061224489,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.28,2411,283,1020
9,0.10159010600706714,0.5013646077089747,expert1,CellProfiler,tile1,0.28,230,867,3201
10,0.11703511053315994,0.008498220205465826,expert1,CellX,tile1,0.28,225,189,3206
11,0.17978620019436345,0.24802265842043594,expert1,AICS(classic),tile1,0.28,370,315,3061
12,0.0,0.25322929376201453,expert1,Cellsegm,tile1,0.28,0,26,3431
13,0.08167233835683034,0.6201126319279938,expert1,Voronoi,tile1,0.28,168,515,3263
14,0.7189140271493213,0.8049131060216731,expert1,Expert2,tile1,0.28,1986,108,1445
15,0.8188175460902734,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.28,1932,693,162
16,0.8174840085287847,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.28,1917,679,177
17,0.8138045050630296,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.28,1969,776,125
18,0.8175394846217788,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.28,1967,751,127
19,0.7634239496742306,1.2262171823123826,expert2,DeepCell 0.6.0 mem,tile1,0.28,1699,658,395
20,0.7656464138876199,1.1600260346196845,expert2,DeepCell 0.6.0 cyto,tile1,0.28,1676,608,418
21,0.7918170878459687,1.2018233460069285,expert2,Cellpose 2.1.0,tile1,0.28,1974,918,120
22,0.790453074433657,1.1642344467582062,expert2,Cellpose 0.6.1,tile1,0.28,1954,896,140
23,0.8187134502923976,1.1095345236567906,expert2,Cellpose 0.0.3.1,tile1,0.28,1960,734,134
24,0.14102162331557505,0.5013646077089747,expert2,CellProfiler,tile1,0.28,225,872,1869
25,0.15311004784688995,0.008498220205465826,expert2,CellX,tile1,0.28,192,222,1902
26,0.2648434688736956,0.24802265842043594,expert2,AICS(classic),tile1,0.28,368,317,1726
27,0.002830188679245283,0.25322929376201453,expert2,Cellsegm,tile1,0.28,3,23,2091
28,0.0511343176089305,0.6201126319279938,expert2,Voronoi,tile1,0.28,71,612,2023
29,0.7189140271493213,1.3572295817168887,expert2,Expert1,tile1,0.28,1986,1445,108
30,0.7331997814605719,1.3331190988651311,expert1,DeepCell 0.12.3 mem,tile2,0.28,2013,419,1046
31,0.7388005780346821,1.3709160858915808,expert1,DeepCell 0.12.3 cyto,tile2,0.28,2045,432,1014
32,0.7463169241825368,1.2558560717874183,expert1,DeepCell 0.9.0 mem,tile2,0.28,2077,430,982
33,0.7701047399254394,1.2711864491608593,expert1,DeepCell 0.9.0 cyto,tile2,0.28,2169,405,890
34,0.6428027418126429,1.2917111006643762,expert1,DeepCell 0.6.0 mem,tile2,0.28,1688,505,1371
35,0.6320645905420992,1.3065462669912957,expert1,DeepCell 0.6.0 cyto,tile2,0.28,1644,499,1415
36,0.755913790082355,1.2137291415782419,expert1,Cellpose 2.1.0,tile2,0.28,2157,491,902
37,0.7418731330170445,1.1912177173356582,expert1,Cellpose 0.6.1,tile2,0.28,2111,521,948
38,0.7467532467532467,1.138137617365024,expert1,Cellpose 0.0.3.1,tile2,0.28,2070,415,989
39,0.016318407960199004,0.8366869965031819,expert1,CellProfiler,tile2,0.28,41,1925,3018
40,0.10774212540476891,0.17854701206200294,expert1,CellX,tile2,0.28,183,155,2876
41,0.19607843137254902,0.3956893658413503,expert1,AICS(classic),tile2,0.28,365,299,2694
42,0.0006514657980456026,0.6069470210966394,expert1,Cellsegm,tile2,0.28,1,10,3058
43,0.04829621679635095,0.6723327786585072,expert1,Voronoi,tile2,0.28,90,578,2969
44,0.6924154492695618,0.8954701774204219,expert1,Expert2,tile2,0.28,1730,208,1329
45,0.811441647597254,1.3331190988651311,expert2,DeepCell 0.12.3 mem,tile2,0.28,1773,659,165
46,0.8095130237825594,1.3709160858915808,expert2,DeepCell 0.12.3 cyto,tile2,0.28,1787,690,151
47,0.8179977502812148,1.2558560717874183,expert2,DeepCell 0.9.0 mem,tile2,0.28,1818,689,120
48,0.8226950354609929,1.2711864491608593,expert2,DeepCell 0.9.0 cyto,tile2,0.28,1856,718,82
49,0.76640038731542,1.2917111006643762,expert2,DeepCell 0.6.0 mem,tile2,0.28,1583,610,355
50,0.7664788042146533,1.3065462669912957,expert2,DeepCell 0.6.0 cyto,tile2,0.28,1564,579,374
51,0.7784561709550807,1.2137291415782419,expert2,Cellpose 2.1.0,tile2,0.28,1785,863,153
52,0.7733041575492341,1.1912177173356582,expert2,Cellpose 0.6.1,tile2,0.28,1767,865,171
53,0.7994573818675107,1.138137617365024,expert2,Cellpose 0.0.3.1,tile2,0.28,1768,717,170
54,0.02151639344262295,0.8366869965031819,expert2,CellProfiler,tile2,0.28,42,1924,1896
55,0.1625659050966608,0.17854701206200294,expert2,CellX,tile2,0.28,185,153,1753
56,0.31744811683320523,0.3956893658413503,expert2,AICS(classic),tile2,0.28,413,251,1525
57,0.0,0.6069470210966394,expert2,Cellsegm,tile2,0.28,0,11,1938
58,0.07904834996162702,0.6723327786585072,expert2,Voronoi,tile2,0.28,103,565,1835
59,0.6924154492695618,1.33199888670863,expert2,Expert1,tile2,0.28,1730,1329,208
