,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.571994715984148,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.49,1732,893,1699
1,0.5800564128090261,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.49,1748,848,1683
2,0.6020077720207254,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.49,1859,886,1572
3,0.5961945031712473,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.49,1833,885,1598
4,0.36247408431237044,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.49,1049,1308,2382
5,0.35870516185476814,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.49,1025,1259,2406
6,0.5627075755179504,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.49,1779,1113,1652
7,0.5741124024836809,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.49,1803,1047,1628
8,0.5609795918367347,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.49,1718,976,1713
9,0.038869257950530034,0.5013646077089747,expert1,CellProfiler,tile1,0.49,88,1009,3343
10,0.04057217165149545,0.008498220205465826,expert1,CellX,tile1,0.49,78,336,3353
11,0.03206997084548105,0.24802265842043594,expert1,AICS(classic),tile1,0.49,66,619,3365
12,0.0,0.25322929376201453,expert1,Cellsegm,tile1,0.49,0,26,3431
13,0.009722897423432183,0.6201126319279938,expert1,Voronoi,tile1,0.49,20,663,3411
14,0.37972850678733033,0.8049131060216731,expert1,Expert2,tile1,0.49,1049,1045,2382
15,0.3822843822843823,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.49,902,1723,1192
16,0.36886993603411516,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.49,865,1731,1229
17,0.5195288282703038,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.49,1257,1488,837
18,0.5785536159600998,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.49,1392,1326,702
19,0.17164682093911482,1.2262171823123826,expert2,DeepCell 0.6.0 mem,tile1,0.49,382,1975,1712
20,0.161717679305619,1.1600260346196845,expert2,DeepCell 0.6.0 cyto,tile1,0.49,354,1930,1740
21,0.583233052547132,1.2018233460069285,expert2,Cellpose 2.1.0,tile1,0.49,1454,1438,640
22,0.6039644012944984,1.1642344467582062,expert2,Cellpose 0.6.1,tile1,0.49,1493,1357,601
23,0.6186299081035923,1.1095345236567906,expert2,Cellpose 0.0.3.1,tile1,0.49,1481,1213,613
24,0.08147916013788781,0.5013646077089747,expert2,CellProfiler,tile1,0.49,130,967,1964
25,0.04704944178628389,0.008498220205465826,expert2,CellX,tile1,0.49,59,355,2035
26,0.08780136739834472,0.24802265842043594,expert2,AICS(classic),tile1,0.49,122,563,1972
27,0.0,0.25322929376201453,expert2,Cellsegm,tile1,0.49,0,26,2094
28,0.0014404033129276198,0.6201126319279938,expert2,Voronoi,tile1,0.49,2,681,2092
29,0.37972850678733033,1.3572295817168887,expert2,Expert1,tile1,0.49,1049,2382,1045
30,0.4367146239300674,1.3331190988651311,expert1,DeepCell 0.12.3 mem,tile2,0.49,1199,1233,1860
31,0.4331647398843931,1.3709160858915808,expert1,DeepCell 0.12.3 cyto,tile2,0.49,1199,1278,1860
32,0.49586776859504134,1.2558560717874183,expert1,DeepCell 0.9.0 mem,tile2,0.49,1380,1127,1679
33,0.5176637670868098,1.2711864491608593,expert1,DeepCell 0.9.0 cyto,tile2,0.49,1458,1116,1601
34,0.24676313785224677,1.2917111006643762,expert1,DeepCell 0.6.0 mem,tile2,0.49,648,1545,2411
35,0.24144559784698194,1.3065462669912957,expert1,DeepCell 0.6.0 cyto,tile2,0.49,628,1515,2431
36,0.5067461012791309,1.2137291415782419,expert1,Cellpose 2.1.0,tile2,0.49,1446,1202,1613
37,0.5229309435951502,1.1912177173356582,expert1,Cellpose 0.6.1,tile2,0.49,1488,1144,1571
38,0.49567099567099565,1.138137617365024,expert1,Cellpose 0.0.3.1,tile2,0.49,1374,1111,1685
39,0.009154228855721393,0.8366869965031819,expert1,CellProfiler,tile2,0.49,23,1943,3036
40,0.040035325287017955,0.17854701206200294,expert1,CellX,tile2,0.49,68,270,2991
41,0.051034112275047006,0.3956893658413503,expert1,AICS(classic),tile2,0.49,95,569,2964
42,0.0,0.6069470210966394,expert1,Cellsegm,tile2,0.49,0,11,3059
43,0.0032197477864233967,0.6723327786585072,expert1,Voronoi,tile2,0.49,6,662,3053
44,0.378226936161697,0.8954701774204219,expert1,Expert2,tile2,0.49,945,993,2114
45,0.3391304347826087,1.3331190988651311,expert2,DeepCell 0.12.3 mem,tile2,0.49,741,1691,1197
46,0.33114382785956964,1.3709160858915808,expert2,DeepCell 0.12.3 cyto,tile2,0.49,731,1746,1207
47,0.4517435320584927,1.2558560717874183,expert2,DeepCell 0.9.0 mem,tile2,0.49,1004,1503,934
48,0.5296985815602837,1.2711864491608593,expert2,DeepCell 0.9.0 cyto,tile2,0.49,1195,1379,743
49,0.15444202372306948,1.2917111006643762,expert2,DeepCell 0.6.0 mem,tile2,0.49,319,1874,1619
50,0.1607449154618966,1.3065462669912957,expert2,DeepCell 0.6.0 cyto,tile2,0.49,328,1815,1610
51,0.5499345835150458,1.2137291415782419,expert2,Cellpose 2.1.0,tile2,0.49,1261,1387,677
52,0.5614879649890591,1.1912177173356582,expert2,Cellpose 0.6.1,tile2,0.49,1283,1349,655
53,0.5860275830884015,1.138137617365024,expert2,Cellpose 0.0.3.1,tile2,0.49,1296,1189,642
54,0.013831967213114754,0.8366869965031819,expert2,CellProfiler,tile2,0.49,27,1939,1911
55,0.058875219683655534,0.17854701206200294,expert2,CellX,tile2,0.49,67,271,1871
56,0.1037663335895465,0.3956893658413503,expert2,AICS(classic),tile2,0.49,135,529,1803
57,0.0,0.6069470210966394,expert2,Cellsegm,tile2,0.49,0,11,1938
58,0.006907137375287797,0.6723327786585072,expert2,Voronoi,tile2,0.49,9,659,1929
59,0.378226936161697,1.33199888670863,expert2,Expert1,tile2,0.49,945,2114,993
