,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.797225891677675,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.01,2414,211,1017
1,0.7897793263646922,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.01,2380,216,1051
2,0.7985751295336787,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.01,2466,279,965
3,0.7929744673930721,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.01,2438,280,993
4,0.7570836212854181,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.01,2191,166,1240
5,0.7492563429571304,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.01,2141,143,1290
6,0.785386683536296,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.01,2483,409,948
7,0.7779016080241999,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.01,2443,407,988
8,0.7683265306122449,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.01,2353,341,1078
9,0.196113074204947,0.5013646077089747,expert1,CellProfiler,tile1,0.01,444,653,2987
10,0.18933680104031209,0.008498220205465826,expert1,CellX,tile1,0.01,364,50,3067
11,0.33090379008746357,0.24802265842043594,expert1,AICS(classic),tile1,0.01,681,4,2750
12,0.014463407578825572,0.25322929376201453,expert1,Cellsegm,tile1,0.01,25,1,3406
13,0.3305785123966942,0.6201126319279938,expert1,Voronoi,tile1,0.01,680,3,2751
14,0.7265158371040724,0.8049131060216731,expert1,Expert2,tile1,0.01,2007,87,1424
15,0.8353464717101081,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.01,1971,654,123
16,0.8353944562899787,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.01,1959,637,135
17,0.8183508989460633,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.01,1980,765,114
18,0.8187863674147964,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.01,1970,748,124
19,0.8016176140193215,1.2262171823123826,expert2,DeepCell 0.6.0 mem,tile1,0.01,1784,573,310
20,0.8035632708999543,1.1600260346196845,expert2,DeepCell 0.6.0 cyto,tile1,0.01,1759,525,335
21,0.7966305655836342,1.2018233460069285,expert2,Cellpose 2.1.0,tile1,0.01,1986,906,108
22,0.7953074433656958,1.1642344467582062,expert2,Cellpose 0.6.1,tile1,0.01,1966,884,128
23,0.818295739348371,1.1095345236567906,expert2,Cellpose 0.0.3.1,tile1,0.01,1959,735,135
24,0.23628956439987464,0.5013646077089747,expert2,CellProfiler,tile1,0.01,377,720,1717
25,0.266347687400319,0.008498220205465826,expert2,CellX,tile1,0.01,334,80,1760
26,0.4757106872975891,0.24802265842043594,expert2,AICS(classic),tile1,0.01,661,24,1433
27,0.02358490566037736,0.25322929376201453,expert2,Cellsegm,tile1,0.01,25,1,2069
28,0.4753330932661145,0.6201126319279938,expert2,Voronoi,tile1,0.01,660,23,1434
29,0.7265158371040724,1.3572295817168887,expert2,Expert1,tile1,0.01,2007,1424,87
30,0.7623383718812602,1.3331190988651311,expert1,DeepCell 0.12.3 mem,tile2,0.01,2093,339,966
31,0.7691473988439307,1.3709160858915808,expert1,DeepCell 0.12.3 cyto,tile2,0.01,2129,348,930
32,0.758893280632411,1.2558560717874183,expert1,DeepCell 0.9.0 mem,tile2,0.01,2112,395,947
33,0.7683294869518906,1.2711864491608593,expert1,DeepCell 0.9.0 cyto,tile2,0.01,2164,410,895
34,0.7376237623762376,1.2917111006643762,expert1,DeepCell 0.6.0 mem,tile2,0.01,1937,256,1122
35,0.7335640138408305,1.3065462669912957,expert1,DeepCell 0.6.0 cyto,tile2,0.01,1908,235,1151
36,0.7657263010338181,1.2137291415782419,expert1,Cellpose 2.1.0,tile2,0.01,2185,463,874
37,0.7531189597610262,1.1912177173356582,expert1,Cellpose 0.6.1,tile2,0.01,2143,489,916
38,0.7507215007215007,1.138137617365024,expert1,Cellpose 0.0.3.1,tile2,0.01,2081,404,978
39,0.05333333333333334,0.8366869965031819,expert1,CellProfiler,tile2,0.01,134,1832,2925
40,0.166028848984398,0.17854701206200294,expert1,CellX,tile2,0.01,282,56,2777
41,0.3540155788342734,0.3956893658413503,expert1,AICS(classic),tile2,0.01,659,5,2400
42,0.0071661237785016286,0.6069470210966394,expert1,Cellsegm,tile2,0.01,11,0,3048
43,0.3568553796619265,0.6723327786585072,expert1,Voronoi,tile2,0.01,665,3,2394
44,0.7244346607964779,0.8954701774204219,expert1,Expert2,tile2,0.01,1810,128,1249
45,0.8247139588100687,1.3331190988651311,expert2,DeepCell 0.12.3 mem,tile2,0.01,1802,630,136
46,0.8167610419026048,1.3709160858915808,expert2,DeepCell 0.12.3 cyto,tile2,0.01,1803,674,135
47,0.8152980877390327,1.2558560717874183,expert2,DeepCell 0.9.0 mem,tile2,0.01,1812,695,126
48,0.8098404255319149,1.2711864491608593,expert2,DeepCell 0.9.0 cyto,tile2,0.01,1827,747,111
49,0.8012587751149842,1.2917111006643762,expert2,DeepCell 0.6.0 mem,tile2,0.01,1655,538,283
50,0.810095564812546,1.3065462669912957,expert2,DeepCell 0.6.0 cyto,tile2,0.01,1653,490,285
51,0.788922808547754,1.2137291415782419,expert2,Cellpose 2.1.0,tile2,0.01,1809,839,129
52,0.7851203501094092,1.1912177173356582,expert2,Cellpose 0.6.1,tile2,0.01,1794,838,144
53,0.8057879267465521,1.138137617365024,expert2,Cellpose 0.0.3.1,tile2,0.01,1782,703,156
54,0.04610655737704918,0.8366869965031819,expert2,CellProfiler,tile2,0.01,90,1876,1848
55,0.24165202108963094,0.17854701206200294,expert2,CellX,tile2,0.01,275,63,1663
56,0.5003843197540354,0.3956893658413503,expert2,AICS(classic),tile2,0.01,651,13,1287
57,0.011287839917906618,0.6069470210966394,expert2,Cellsegm,tile2,0.01,11,0,1927
58,0.4980813507290867,0.6723327786585072,expert2,Voronoi,tile2,0.01,649,19,1289
59,0.7244346607964779,1.33199888670863,expert2,Expert1,tile2,0.01,1810,1249,128
